,date,temperature
0,2014-06-01,29.8
1,2014-06-01,27.2
2,2014-06-01,15.7
3,2014-06-01,9.7
4,2014-06-01,26.0
5,2014-06-01,5.0
6,2014-06-01,26.9
7,2014-06-01,11.2
8,2014-06-01,21.5
9,2014-06-01,16.5
10,2014-06-01,29.4
11,2014-06-01,23.9
12,2014-06-01,29.4
13,2014-06-01,24.4
14,2014-06-01,31.1
15,2014-06-01,25.6
16,2014-06-01,31.1
17,2014-06-01,25.0
18,2014-06-01,28.3
19,2014-06-01,17.8
20,2014-06-01,26.7
21,2014-06-01,18.3
22,2014-06-01,30.0
23,2014-06-01,18.3
24,2014-06-01,31.1
25,2014-06-01,21.1
26,2014-06-01,32.2
27,2014-06-01,20.0
28,2014-06-01,30.6
29,2014-06-01,25.0
30,2014-06-01,32.2
31,2014-06-01,19.4
32,2014-06-01,28.9
33,2014-06-01,23.9
34,2014-06-01,30.0
35,2014-06-01,22.8
36,2014-06-01,31.1
37,2014-06-01,18.9
38,2014-06-01,33.3
39,2014-06-01,20.6
40,2014-06-01,29.4
41,2014-06-01,24.4
42,2014-06-01,29.4
43,2014-06-01,21.7
44,2014-06-01,28.3
45,2014-06-01,25.6
46,2014-06-01,28.9
47,2014-06-01,21.1
48,2014-06-01,32.2
49,2014-06-01,20.0
50,2014-06-01,32.8
51,2014-06-01,21.1
52,2014-06-01,31.7
53,2014-06-01,23.3
54,2014-06-01,30.6
55,2014-06-01,23.9
56,2014-06-01,30.6
57,2014-06-01,22.2
58,2014-06-01,30.0
59,2014-06-01,23.9
60,2014-06-01,33.3
61,2014-06-01,25.0
62,2014-06-01,25.0
63,2014-06-01,3.9
64,2014-06-01,26.1
65,2014-06-01,21.7
66,2014-06-01,28.9
67,2014-06-01,13.3
68,2014-06-01,30.6
69,2014-06-01,19.4
70,2014-06-01,30.0
71,2014-06-01,19.4
72,2014-06-01,28.3
73,2014-06-01,19.4
74,2014-06-01,30.6
75,2014-06-01,17.8
76,2014-06-01,29.4
77,2014-06-01,21.1
78,2014-06-01,23.9
79,2014-06-01,21.1
80,2014-06-01,27.8
81,2014-06-01,20.6
82,2014-06-01,29.4
83,2014-06-01,20.6
84,2014-06-01,27.8
85,2014-06-01,20.6
86,2014-06-01,31.1
87,2014-06-01,19.4
88,2014-06-01,28.3
89,2014-06-01,20.6
90,2014-06-01,28.3
91,2014-06-01,19.4
92,2014-06-01,30.6
93,2014-06-01,30.6
94,2014-06-01,17.8
95,2014-06-01,28.3
96,2014-06-01,18.3
97,2014-06-01,31.1
98,2014-06-01,20.6
99,2014-06-01,33.3
100,2014-06-01,19.4
101,2014-06-01,26.1
102,2014-06-01,21.1
103,2014-06-01,30.0
104,2014-06-01,19.4
105,2014-06-01,25.6
106,2014-06-01,22.2
107,2014-06-01,30.6
108,2014-06-01,21.1
109,2014-06-01,30.0
110,2014-06-01,16.1
111,2014-06-01,28.3
112,2014-06-01,20.0
113,2014-06-01,30.0
114,2014-06-01,20.0
115,2014-06-01,28.9
116,2014-06-01,19.4
117,2014-06-01,28.3
118,2014-06-01,19.4
119,2014-06-01,28.9
120,2014-06-01,20.6
121,2014-06-01,31.1
122,2014-06-01,18.9
123,2014-06-01,29.4
124,2014-06-01,18.9
125,2014-06-01,31.1
126,2014-06-01,16.7
127,2014-06-01,30.0
128,2014-06-01,18.3
129,2014-06-01,30.6
130,2014-06-01,21.7
131,2014-06-01,31.1
132,2014-06-01,20.6
133,2014-06-01,27.8
134,2014-06-01,20.0
135,2014-06-01,30.0
136,2014-06-01,17.2
137,2014-06-01,30.6
138,2014-06-01,17.8
139,2014-06-01,30.6
140,2014-06-01,17.8
141,2014-06-01,29.4
142,2014-06-01,20.6
143,2014-06-01,28.9
144,2014-06-01,20.0
145,2014-06-01,30.0
146,2014-06-01,18.3
147,2014-06-01,30.0
148,2014-06-01,20.0
149,2014-06-01,29.4
150,2014-06-01,20.6
151,2014-06-01,30.0
152,2014-06-01,19.4
153,2014-06-01,31.1
154,2014-06-01,20.0
155,2014-06-01,31.1
156,2014-06-01,18.9
157,2014-06-01,29.4
158,2014-06-01,20.0
159,2014-06-01,31.1
160,2014-06-01,18.3
161,2014-06-01,22.8
162,2014-06-01,18.3
163,2014-06-01,27.2
164,2014-06-01,21.7
165,2014-06-01,29.4
166,2014-06-01,20.6
167,2014-06-01,31.1
168,2014-06-01,18.9
169,2014-06-01,29.4
170,2014-06-01,21.7
171,2014-06-01,29.4
172,2014-06-01,19.4
