disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
4357,2018-03-02 00:00:00+00:00,DR,Hurricane,TROPICAL STORM GITA,9,American Samoa,Open,,,4070334.78,179830.8,250290.0,3165018.98,0.0,0.0,452880.0,0.0,March 2018,2018
5389,2021-06-06 00:00:00+00:00,FM,Fire,TELEGRAPH FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2021,2021
1843,2009-06-11 00:00:00+00:00,DR,Flood,FLOODING AND ICE JAMS,10,Alaska,Closed,2016-09-28T00:00:00.000Z,,3479110.0,0.0,166900.0,3126359.0,0.0,0.0,185851.0,0.0,June 2009,2009
4667,2022-08-26 00:00:00+00:00,DR,Flood,FLOODING,10,Alaska,Open,,,74201.67,0.0,0.0,42000.0,0.0,0.0,29401.67,1.0,August 2022,2022
4840,2024-10-25 00:00:00+00:00,DR,Flood,FLOODING,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2024,2024
1992,2011-06-10 00:00:00+00:00,DR,Flood,ICE JAM AND FLOODING,10,Alaska,Closed,2019-05-15T00:00:00.000Z,,306106.24,0.0,0.0,290882.24,0.0,0.0,15224.0,0.0,June 2011,2011
4122,2013-06-25 00:00:00+00:00,DR,Flood,FLOODING,10,Alaska,Closed,2019-08-28T00:00:00.000Z,,4080910.0,0.0,0.0,3890685.0,0.0,0.0,190225.0,0.0,June 2013,2013
5084,2015-06-15 00:00:00+00:00,FM,Fire,SOCKEYE FIRE,10,Alaska,Closed,2018-01-31T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,June 2015,2015
5085,2015-06-16 00:00:00+00:00,FM,Fire,CARD STREET FIRE,10,Alaska,Closed,2018-02-12T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,June 2015,2015
5287,2019-08-20 00:00:00+00:00,FM,Fire,MCKINLEY FIRE,10,Alaska,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2019,2019
5290,2019-08-22 00:00:00+00:00,FM,Fire,DESHKA LANDING FIRE,10,Alaska,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2019,2019
4082,2012-09-21 00:00:00+00:00,DR,Hurricane,HURRICANE ISAAC,4,Alabama,Closed,2022-09-23T00:00:00.000Z,,960197.0,34395.0,0.0,879572.0,0.0,0.0,46230.0,0.0,September 2012,2012
1866,2009-12-22 00:00:00+00:00,DR,Hurricane,TROPICAL STORM IDA,4,Alabama,Closed,2019-07-03T00:00:00.000Z,2015-05-25T00:00:00.000Z,1485616.0,135550.0,47090.0,1233716.0,0.0,0.0,69260.0,0.0,December 2009,2009
4404,2018-10-26 00:00:00+00:00,DR,Typhoon,SUPER TYPHOON YUTU,9,Northern Mariana Islands,Open,,,15796752.4,350949.0,0.0,11674250.3,0.0,0.0,3557803.0,3.0,October 2018,2018
5480,2023-08-19 00:00:00+00:00,FM,Fire,RIVER ROAD EAST FIRE,8,Montana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,August 2023,2023
4433,2019-05-07 00:00:00+00:00,DR,Typhoon,TYPHOON WUTIP,9,Guam,Open,,,146376.8,0.0,0.0,113108.12,0.0,0.0,27625.0,0.0,May 2019,2019
5205,2017-09-05 00:00:00+00:00,FM,Fire,PIER FIRE,9,California,Open,,,445645.75,0.0,0.0,425007.75,0.0,0.0,20638.0,0.0,September 2017,2017
1666,2006-10-27 00:00:00+00:00,DR,Fire,FIRE,10,Alaska,Closed,2011-08-09T00:00:00.000Z,,339901.0,0.0,0.0,311690.0,1363.0,9433.0,17415.0,0.0,October 2006,2006
5334,2020-08-19 00:00:00+00:00,FM,Fire,GRIZZLY CREEK FIRE ,8,Colorado,Open,,,700108.22,0.0,113247.22,517050.0,0.0,0.0,69811.0,0.0,August 2020,2020
4391,2018-09-05 00:00:00+00:00,DR,Flood,FLOODING,10,Alaska,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,September 2018,2018
1657,2006-08-04 00:00:00+00:00,DR,Flood,SNOW MELT AND ICE JAM FLOODING,10,Alaska,Closed,2011-06-30T00:00:00.000Z,,73741.0,0.0,11250.0,47939.0,2005.0,2368.0,10179.0,0.0,August 2006,2006
5340,2020-08-26 00:00:00+00:00,FM,Fire,GRIFFIN FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2020,2020
5522,2024-07-27 00:00:00+00:00,FM,Fire,BOREL FIRE,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
5435,2022-04-19 00:00:00+00:00,FM,Fire,CROOKS FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2022,2022
5441,2022-06-12 00:00:00+00:00,FM,Fire,PIPELINE FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2022,2022
5186,2017-06-25 00:00:00+00:00,FM,Fire,GOODWIN FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2017,2017
5188,2017-07-08 00:00:00+00:00,FM,Fire,ROACH FIRE,9,Arizona,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2017,2017
4655,2022-06-16 00:00:00+00:00,DR,Flood,SEVERE STORM AND FLOODING ,8,Montana,Open,,,1851831.0,0.0,0.0,1362084.0,0.0,0.0,442921.0,25.0,June 2022,2022
4161,2014-01-16 00:00:00+00:00,DR,Flood,FLOODING,10,Alaska,Closed,2018-07-18T00:00:00.000Z,,251861.0,0.0,5580.0,234026.0,0.0,0.0,12255.0,0.0,January 2014,2014
5424,2022-03-04 00:00:00+00:00,FM,Fire,1707 ADKINS AVE FIRE,4,Florida,Closed,2022-11-30T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2022,2022
4277,2016-08-14 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,6,Louisiana,Open,,,138047791.05,11019953.36,15833750.0,98383669.69,0.0,0.0,12810418.0,37.0,August 2016,2016
5447,2022-08-04 00:00:00+00:00,FM,Fire,LIND FIRE,10,Washington,Open,,,271152.05,0.0,0.0,0.0,0.0,0.0,271152.05,2.0,August 2022,2022
1789,2008-09-10 00:00:00+00:00,DR,Hurricane,HURRICANE GUSTAV,4,Alabama,Closed,2019-07-03T00:00:00.000Z,2014-02-01T00:00:00.000Z,1264949.02,0.0,152277.0,1078679.0,0.0,0.0,33993.02,0.0,September 2008,2008
1593,2005-07-10 00:00:00+00:00,DR,Hurricane,HURRICANE DENNIS,4,Alabama,Closed,2010-01-15T00:00:00.000Z,,992916.0,0.0,0.0,947276.0,20449.0,25191.0,0.0,0.0,July 2005,2005
1549,2004-09-15 00:00:00+00:00,DR,Hurricane,HURRICANE IVAN,4,Alabama,Closed,2014-02-06T00:00:00.000Z,,37574846.0,3734623.0,632555.0,30390629.0,194440.0,841468.0,1781131.0,0.0,September 2004,2004
4475,2020-01-21 00:00:00+00:00,DR,Flood,FLOODING,8,North Dakota,Open,,,2515677.0,98524.44,139560.86,2013160.26,0.0,0.0,264431.44,0.0,January 2020,2020
5459,2023-03-31 00:00:00+00:00,FM,Fire,"HEFNER FIRE, OKLAHOMA FMAG",6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2023,2023
1793,2008-09-18 00:00:00+00:00,DR,Hurricane,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV,6,Arkansas,Closed,2014-11-17T00:00:00.000Z,,608954.0,0.0,0.0,605482.0,0.0,0.0,3472.0,0.0,September 2008,2008
5460,2023-03-31 00:00:00+00:00,FM,Fire,"GAP ROAD FIRE, OKLAHOMA FMAG",6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2023,2023
1582,2005-02-18 00:00:00+00:00,DR,Typhoon,"TC OLAF, INCLUD. HIGH WINDS AND SURF AND HEAVY RAINFALL",9,American Samoa,Closed,2015-09-03T00:00:00.000Z,,462000.0,0.0,34748.0,365782.0,0.0,0.0,61470.0,0.0,February 2005,2005
5542,2024-10-24 00:00:00+00:00,FM,Fire,HAWTHORNE FIRE ,1,Connecticut,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2024,2024
