,STATE,EVENT_TYPE,YEAR,INJURIES_DIRECT,DEATHS_DIRECT,DAMAGE_PROPERTY
0,ALABAMA,Flood,2004,0,0,0
1,ALABAMA,Flood,2005,0,0,65000
2,ALABAMA,Flood,2006,0,0,0
3,ALABAMA,Flood,2008,0,0,5000
4,ALABAMA,Flood,2009,0,0,2687000
5,ALABAMA,Flood,2010,0,0,2018000
6,ALABAMA,Flood,2011,0,0,35000
7,ALABAMA,Flood,2012,0,0,15000
8,ALABAMA,Flood,2013,0,0,3250000
9,ALABAMA,Flood,2014,0,1,883460
10,ALABAMA,Flood,2015,0,3,7711000
11,ALABAMA,Flood,2016,0,0,170000
12,ALABAMA,Flood,2017,0,0,0
13,ALABAMA,Flood,2018,0,0,5000
14,ALABAMA,Flood,2019,0,0,0
15,ALABAMA,Flood,2020,1,0,250000
16,ALABAMA,Flood,2021,0,0,0
17,ALABAMA,Flood,2022,0,0,0
18,ALABAMA,Flood,2023,0,0,0
19,ALABAMA,Flood,2024,0,0,0
20,ALABAMA,Hurricane (Typhoon),2004,0,0,2500000000
21,ALABAMA,Hurricane (Typhoon),2005,0,0,1121500000
22,ALABAMA,Tornado,2004,13,1,5353000
23,ALABAMA,Tornado,2005,8,0,4741000
24,ALABAMA,Tornado,2006,13,1,8975500
25,ALABAMA,Tornado,2007,66,10,269705500
26,ALABAMA,Tornado,2008,105,6,27591500
27,ALABAMA,Tornado,2009,25,1,9744500
28,ALABAMA,Tornado,2010,53,0,25369000
29,ALABAMA,Tornado,2011,2113,245,4362373699
30,ALABAMA,Tornado,2012,82,3,1589000
31,ALABAMA,Tornado,2013,12,0,1770000
32,ALABAMA,Tornado,2014,73,2,990000
33,ALABAMA,Tornado,2015,8,0,1325000
34,ALABAMA,Tornado,2016,18,4,1848000
35,ALABAMA,Tornado,2017,14,0,2242000
36,ALABAMA,Tornado,2018,10,0,376000
37,ALABAMA,Tornado,2019,101,25,270000
38,ALABAMA,Tornado,2020,14,5,555000
39,ALABAMA,Tornado,2021,90,7,3659000
40,ALABAMA,Tornado,2022,13,3,259000
41,ALABAMA,Tornado,2023,28,9,14980000
42,ALABAMA,Tornado,2024,10,1,12786300
43,ALABAMA,Wildfire,2010,0,0,103000
44,ALABAMA,Wildfire,2011,0,0,0
45,ALABAMA,Wildfire,2012,0,0,0
46,ALABAMA,Wildfire,2014,0,0,0
47,ALABAMA,Wildfire,2015,0,0,0
48,ALABAMA,Winter Storm,2004,0,0,0
49,ALABAMA,Winter Storm,2005,0,0,0
50,ALABAMA,Winter Storm,2006,0,0,0
51,ALABAMA,Winter Storm,2008,0,0,0
52,ALABAMA,Winter Storm,2010,2,2,0
53,ALABAMA,Winter Storm,2011,0,0,0
54,ALABAMA,Winter Storm,2014,0,1,1000000
55,ALABAMA,Winter Storm,2015,0,0,0
56,ALABAMA,Winter Storm,2017,0,0,0
57,ALABAMA,Winter Storm,2018,0,0,0
58,ALABAMA,Winter Storm,2021,0,0,0
59,ALABAMA,Winter Storm,2022,0,0,0
60,ALABAMA,Winter Storm,2024,0,0,0
61,ALASKA,Flood,2004,0,0,5238000
62,ALASKA,Flood,2005,0,0,1552000
63,ALASKA,Flood,2006,0,0,61222340
64,ALASKA,Flood,2007,0,0,3900000
65,ALASKA,Flood,2008,0,0,4167000
66,ALASKA,Flood,2009,0,0,28769600
67,ALASKA,Flood,2010,0,0,6160000
68,ALASKA,Flood,2011,0,0,1515000
69,ALASKA,Flood,2012,0,1,23430000
70,ALASKA,Flood,2013,0,0,27826000
71,ALASKA,Flood,2014,0,0,686000
72,ALASKA,Flood,2015,0,0,15530300
73,ALASKA,Flood,2016,0,0,148000
74,ALASKA,Flood,2017,0,0,6180000
75,ALASKA,Flood,2018,0,0,3400000
76,ALASKA,Flood,2019,0,0,7900000
77,ALASKA,Flood,2020,0,0,9574000
78,ALASKA,Flood,2021,0,0,5855740
79,ALASKA,Flood,2022,0,0,583000
80,ALASKA,Flood,2023,0,0,7000000
81,ALASKA,Flood,2024,0,0,0
82,ALASKA,Tornado,2004,0,0,0
83,ALASKA,Tornado,2005,0,0,0
84,ALASKA,Tornado,2024,0,0,0
85,ALASKA,Wildfire,2004,0,0,900000
86,ALASKA,Wildfire,2005,0,0,0
87,ALASKA,Wildfire,2006,0,0,325000
88,ALASKA,Wildfire,2009,0,0,250000
89,ALASKA,Wildfire,2010,0,0,1500000
90,ALASKA,Wildfire,2015,8,0,2150000
