date,temperature
2014-06-01,27.8
2014-06-01,26.1
2014-06-01,23.3
2014-06-01,22.8
2014-06-01,18.9
2014-06-01,23.3
2014-06-01,20.6
2014-06-01,27.2
2014-06-01,28.3
2014-06-01,26.7
2014-06-01,23.3
2014-06-01,28.3
2014-06-01,27.2
2014-06-01,22.8
2014-06-01,27.2
2014-06-01,22.2
2014-06-01,28.9
2014-06-01,25.0
2014-06-01,25.6
2014-06-01,25.0
2014-06-01,7.8
2014-06-01,22.8
2014-06-01,20.6
2014-06-01,20.6
2014-06-01,28.3
2014-06-01,21.1
2014-06-01,23.9
2014-06-01,21.7
2014-06-01,21.1
2014-06-01,20.6
2014-06-01,22.2
2014-06-01,21.7
2014-06-01,21.1
2014-06-01,22.2
2014-06-01,21.7
2014-06-01,20.6
2014-06-01,22.8
2014-06-01,27.8
2014-06-01,20.0
2014-06-01,22.8
2014-06-01,21.7
2014-06-01,24.4
2014-06-01,22.2
2014-06-01,20.6
2014-06-01,20.0
2014-06-01,25.6
2014-06-01,20.0
2014-06-01,20.0
2014-06-01,23.3
2014-06-01,20.6
2014-06-01,21.7
2014-06-01,20.0
2014-06-01,24.4
2014-06-01,23.3
2014-06-01,21.7
2014-06-01,25.0
2014-06-01,18.3
2014-06-01,20.0
2014-06-01,20.0
2014-06-01,22.2
2014-06-01,21.1
2014-06-01,20.6
2014-06-01,22.8
2014-06-01,22.8
2014-06-01,21.7
2014-06-01,21.7
2014-06-01,23.3
2014-06-01,23.3
2014-06-01,21.7
2014-06-01,20.0
2014-06-01,23.3
2014-06-01,23.9
2014-06-01,23.3
2014-06-01,20.0
2014-06-01,22.2
2014-06-01,20.6
2014-06-01,21.1
2014-06-01,20.6
2014-06-01,20.6
2014-06-01,21.1
2014-06-01,25.0
2014-06-01,20.0
2014-06-01,23.3
2014-06-01,20.6
2014-06-01,31.1
2014-06-01,26.1
2014-06-01,36.1
2014-06-01,37.8
2014-06-01,20.0
2014-06-01,13.3
2014-06-01,17.2
2014-06-01,26.7
2014-06-01,33.3
2014-06-01,16.7
2014-06-01,38.3
2014-06-01,40.0
2014-06-01,30.6
2014-06-01,36.1
2014-06-01,21.7
2014-06-01,35.0
2014-06-01,28.9
2014-06-01,26.1
2014-06-01,32.2
2014-06-01,33.9
2014-06-01,22.8
2014-06-01,8.3
2014-06-01,38.3
2014-06-01,40.0
2014-06-01,33.3
2014-06-01,25.0
2014-06-01,26.1
2014-06-01,25.0
2014-06-01,41.1
2014-06-01,29.4
2014-06-01,17.2
2014-06-01,16.1
2014-06-01,23.3
2014-06-01,22.8
2014-06-01,25.0
2014-06-01,16.1
2014-06-01,35.0
2014-06-01,23.9
2014-06-01,32.2
2014-06-01,40.0
2014-06-01,8.3
2014-06-01,32.8
2014-06-01,16.1
2014-06-01,26.1
2014-06-01,22.8
2014-06-01,23.3
2014-06-01,26.1
2014-06-01,40.0
2014-06-01,31.1
2014-06-01,26.1
2014-06-01,33.9
2014-06-01,31.7
2014-06-01,35.0
2014-06-01,19.4
2014-06-01,16.1
2014-06-01,31.7
2014-06-01,20.6
2014-06-01,38.3
2014-06-01,38.9
2014-06-01,30.6
2014-06-01,27.2
2014-06-01,30.0
2014-06-01,22.8
2014-06-01,28.9
2014-06-01,33.9
2014-06-01,31.7
2014-06-01,31.1
2014-06-01,29.4
2014-06-01,28.3
2014-06-01,21.7
2014-06-01,26.7
2014-06-01,27.2
2014-06-01,30.0
2014-06-01,12.8
2014-06-01,20.0
2014-06-01,30.0
2014-06-01,30.6
2014-06-01,38.9
2014-06-01,24.4
2014-06-01,25.0
2014-06-01,31.1
2014-06-01,27.8
2014-06-01,36.7
2014-06-01,17.8
2014-06-01,29.4
